developer_id,developer_name
1,1047 Games
2,11 Bit Studios
3,1C Company
4,2D BOY
5,2K
6,343 Industries
7,34BigThings
8,38 Studios
9,3909
10,3D Realms
11,4A Games
12,4J Studios
13,5 Lives Studios
14,505 Games
15,5th Cell Media
16,8-4
17,800 North and Digital Ranch
18,Abbey Games
19,Abstraction Games
20,Abylight
21,Acclaim Cheltenham
22,Acid Nerve
23,Acid Wizard
24,Activision Blizzard
25,Airtight Games
26,Alawar
27,Alexander Bruce
28,Alligator Pit
29,Almost Human
30,Amanita Design
31,Amplitude Studios
32,Andrew Shouldice
33,Annapurna Interactive
34,Anshar Studios
35,Anuman Interactive
36,Aquiris Game Studio
37,Arc System Works
38,Arkane Studios
39,Arkedo Studio
40,Armature Studio
41,Arrowhead Game Studios
42,ArtPlay
43,Artifice Studio
44,Askiisoft
45,Asobo Studio
46,Aspyr Media
47,Asteroid Base
48,Atlus Persona Team
49,Automaton
50,Avalanche Software
51,Avalanche Studios
52,Bandai Namco Entertainment
53,Barking Dog Studios
54,BattleCry Studios
55,Beamdog
56,Beat Games
57,Bedtime Digital Games
58,Beenox
59,Behaviour Digital
60,Behaviour Interactive
61,Bend Studio
62,Berserk Games
63,BetaDwarf
64,Bethesda Game Studios
65,Bethesda Softworks
66,Big Bad Wolf
67,Big Blue Box Studios
68,Big Huge Games
69,BioWare
70,Bithell Games
71,Black Forest Games
72,Black Isle Studios
73,Blacklight Interactive
74,Blind Squirrel
75,Blindside Interactive
76,Blit
77,Bloober Team
78,Blue Byte
79,Blue Castle Games
80,Blue Mammoth Games
81,BlueTwelve
82,Bluehole
83,Bohemia Interactive
84,Boneloaf
85,Bossa Studios
86,Brace Yourself Games
87,Brilliant Game Studios
88,Broken Rules
89,Bugbear
90,Bulkhead Interactive
91,Bungie
92,CCP
93,CD Projekt
94,CI Games
95,Campo Santo
96,Capcom
97,Capybara Games
98,Carbon
99,Cardboard Computer
100,Cellar Door Games
101,Certain Affinity
102,Chibig
