publisher_id,publisher_name
1,1047 Games
2,11 bit studios
3,1C Company
4,2D BOY
5,2K
6,38 Studios
7,3909
8,3D Realms
9,4EversGames
10,5 Lives Studios
11,505 Games
12,8-4
13,800 North and Digital Ranch
14,ACE
15,AGM PLAYISM
16,AQUIRIS
17,Abbey Games
18,Abylight
19,Acclaim Entertainment
20,Acid Wizard Studio
21,Active Software
22,Activision Blizzard
23,Activison
24,Adult Swim Games
25,Akella
26,Aksys Games
27,Alawar
28,All in! Games
29,Almost Human
30,Amanita Design
31,Amazon Games
32,Amplitude Studios
33,Annapurna Interactive
34,Aquiris Game Studio
35,Artifice Studio
36,Aspyr
37,Asteroid Base
38,Atari
39,Atlus Persona Team
40,Automaton
41,Autumn Games
42,Axolot Games
43,Bandai Namco Entertainment
44,Beamdog
45,Beat Games
46,Bedtime Digital Games
47,Behaviour Interactive
48,Berserk Games
49,BetaDwarf
50,Bethesda
51,Bethesda Softworks
52,Bigben Interactive
53,Bithell Games
54,Black Forest Games
55,Blacklight Interactive
56,Blazing Griffin
57,Blindside Interactive
58,Blit
59,Blizzard Entertainment
60,Bloober Team
61,Blue Mammoth Games
62,Bluehole
63,Bohemia Interactive
64,Bossa Studios
65,Brace Yourself Games
66,Brilliant Game Studios
67,Buka Entertainment
68,Bulkhead Interactive
69,Bungie
70,CCP
71,CD Projekt
72,CDV Software
73,CI Games
74,Campo Santo
75,Capcom
76,Capybara Games
77,Cardboard Computer
78,Casterman
79,Cellar Door Games
80,Chibig
81,Chillingo
82,Choice Provisions
83,Chucklefish
84,Codemasters
85,Coffee Stain
86,Cold Enemy Gaming
87,Colibri Games
88,ComonGames
89,ConcernedApe
90,Contingent99
91,Corporation Polytron
92,Crate Entertainment
93,Creative Mobile
94,Croteam
95,Crowbar Collective
96,Crunching Koalas
97,Crytek
98,CurnurX
99,Curve Digital
100,CyberFront
101,D3 Publisher
102,D4 Enterprise
103,DTP Entertainment
104,Daedalic Entertainment
